elapsed_band_index,elapsed_band,u_shape_phase,delayed_peak_phase,calendar_band_index,calendar_band,event_number_cat,org_size,org_size_score,org_size_unknown,employee_size,turnover_size,sector_proxy,entity_kind_group,prior_records_band,events,exposure_days
0,0-90,immediate,immediate_0_90,2,2022-2023,1,HUGE,4.0,0,very_large,unknown,health,organisation,unknown,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,HUGE,4.0,0,very_large,unknown,other,organisation,unknown,0,575
0,0-90,immediate,immediate_0_90,2,2022-2023,1,HUGE,4.0,0,very_large,unknown,retail,organisation,<1k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,HUGE,4.0,0,very_large,unknown,technology,organisation,100k+,0,93
0,0-90,immediate,immediate_0_90,2,2022-2023,1,HUGE,4.0,0,very_large,unknown,technology,organisation,10k-100k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,HUGE,4.0,0,very_large,unknown,technology,organisation,<1k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,HUGE,4.0,0,very_large,unknown,technology,organisation,unknown,0,318
0,0-90,immediate,immediate_0_90,2,2022-2023,1,HUGE,4.0,0,very_large,unknown,telecom_transport,organisation,100k+,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,HUGE,4.0,0,very_large,unknown,telecom_transport,organisation,unknown,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,large,unknown,education,organisation,<1k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,large,unknown,finance,organisation,100k+,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,large,unknown,finance,organisation,10k-100k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,large,unknown,finance,organisation,<1k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,large,unknown,government,organisation,unknown,0,197
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,large,unknown,health,organisation,100k+,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,large,unknown,health,organisation,unknown,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,large,unknown,industrial,organisation,unknown,0,55
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,large,unknown,other,organisation,100k+,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,large,unknown,other,organisation,10k-100k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,large,unknown,other,organisation,1k-10k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,large,unknown,other,organisation,unknown,0,331
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,large,unknown,retail,organisation,100k+,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,large,unknown,retail,organisation,10k-100k,0,61
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,large,unknown,technology,organisation,10k-100k,0,1
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,large,unknown,technology,organisation,unknown,0,31
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,medium,unknown,education,organisation,<1k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,medium,unknown,other,organisation,1k-10k,0,35
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,medium,unknown,other,organisation,unknown,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,unknown,unknown,other,organisation,1k-10k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,very_large,unknown,education,organisation,10k-100k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,very_large,unknown,finance,organisation,10k-100k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,very_large,unknown,finance,organisation,unknown,0,180
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,very_large,unknown,government,government_body,<1k,0,60
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,very_large,unknown,government,organisation,10k-100k,0,151
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,very_large,unknown,government,organisation,<1k,0,77
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,very_large,unknown,government,organisation,unknown,0,301
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,very_large,unknown,government,other_or_unknown,100k+,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,very_large,unknown,health,organisation,100k+,0,180
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,very_large,unknown,health,organisation,10k-100k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,very_large,unknown,health,organisation,<1k,0,88
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,very_large,unknown,industrial,organisation,1k-10k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,very_large,unknown,media,organisation,<1k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,very_large,unknown,other,organisation,100k+,0,52
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,very_large,unknown,other,organisation,unknown,0,300
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,very_large,unknown,retail,organisation,100k+,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,very_large,unknown,technology,organisation,1k-10k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,very_large,unknown,technology,organisation,unknown,0,151
0,0-90,immediate,immediate_0_90,2,2022-2023,1,LARGE,3.0,0,very_large,unknown,technology,other_or_unknown,unknown,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,MEDIUM,2.0,0,medium,unknown,finance,organisation,10k-100k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,MEDIUM,2.0,0,medium,unknown,government,government_body,100k+,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,MEDIUM,2.0,0,medium,unknown,government,government_body,unknown,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,MEDIUM,2.0,0,medium,unknown,government,organisation,10k-100k,0,137
0,0-90,immediate,immediate_0_90,2,2022-2023,1,MEDIUM,2.0,0,medium,unknown,government,organisation,unknown,0,180
0,0-90,immediate,immediate_0_90,2,2022-2023,1,MEDIUM,2.0,0,medium,unknown,health,organisation,unknown,0,40
0,0-90,immediate,immediate_0_90,2,2022-2023,1,MEDIUM,2.0,0,medium,unknown,other,organisation,100k+,0,127
0,0-90,immediate,immediate_0_90,2,2022-2023,1,MEDIUM,2.0,0,medium,unknown,other,organisation,10k-100k,0,270
0,0-90,immediate,immediate_0_90,2,2022-2023,1,MEDIUM,2.0,0,medium,unknown,other,organisation,1k-10k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,MEDIUM,2.0,0,medium,unknown,other,organisation,unknown,0,400
0,0-90,immediate,immediate_0_90,2,2022-2023,1,MEDIUM,2.0,0,medium,unknown,retail,organisation,100k+,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,MEDIUM,2.0,0,medium,unknown,technology,organisation,unknown,0,270
0,0-90,immediate,immediate_0_90,2,2022-2023,1,MEDIUM,2.0,0,small,unknown,finance,organisation,1k-10k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,MEDIUM,2.0,0,small,unknown,government,government_body,unknown,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,MEDIUM,2.0,0,small,unknown,health,organisation,100k+,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,MEDIUM,2.0,0,small,unknown,other,organisation,10k-100k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,MEDIUM,2.0,0,unknown,unknown,other,organisation,1k-10k,0,17
0,0-90,immediate,immediate_0_90,2,2022-2023,1,SMALL,1.0,0,small,unknown,health,organisation,unknown,0,20
0,0-90,immediate,immediate_0_90,2,2022-2023,1,SMALL,1.0,0,small,unknown,other,organisation,10k-100k,0,270
0,0-90,immediate,immediate_0_90,2,2022-2023,1,SMALL,1.0,0,small,unknown,other,organisation,1k-10k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,SMALL,1.0,0,small,unknown,technology,organisation,10k-100k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,SMALL,1.0,0,small,unknown,technology,organisation,unknown,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,UNKNOWN,2.8546875,1,unknown,unknown,health,organisation,100k+,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,UNKNOWN,2.8546875,1,unknown,unknown,health,organisation,1k-10k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,UNKNOWN,2.8546875,1,unknown,unknown,health,organisation,unknown,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,UNKNOWN,2.8546875,1,unknown,unknown,other,organisation,1k-10k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,UNKNOWN,2.8546875,1,unknown,unknown,other,organisation,unknown,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,1,UNKNOWN,2.8546875,1,unknown,unknown,technology,other_or_unknown,100k+,0,59
0,0-90,immediate,immediate_0_90,2,2022-2023,2,HUGE,4.0,0,very_large,unknown,government,government_body,1k-10k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,2,HUGE,4.0,0,very_large,unknown,government,government_body,unknown,1,15
0,0-90,immediate,immediate_0_90,2,2022-2023,2,HUGE,4.0,0,very_large,unknown,government,organisation,100k+,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,2,HUGE,4.0,0,very_large,unknown,government,organisation,1k-10k,0,180
0,0-90,immediate,immediate_0_90,2,2022-2023,2,HUGE,4.0,0,very_large,unknown,government,organisation,<1k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,2,HUGE,4.0,0,very_large,unknown,technology,organisation,100k+,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,2,HUGE,4.0,0,very_large,unknown,technology,organisation,unknown,0,180
0,0-90,immediate,immediate_0_90,2,2022-2023,2,HUGE,4.0,0,very_large,unknown,telecom_transport,organisation,100k+,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,2,LARGE,3.0,0,large,unknown,government,organisation,unknown,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,2,LARGE,3.0,0,unknown,unknown,education,organisation,1k-10k,0,59
0,0-90,immediate,immediate_0_90,2,2022-2023,2,LARGE,3.0,0,very_large,unknown,education,organisation,1k-10k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,3+,HUGE,4.0,0,very_large,unknown,finance,organisation,unknown,0,61
0,0-90,immediate,immediate_0_90,2,2022-2023,3+,HUGE,4.0,0,very_large,unknown,government,government_body,unknown,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,3+,HUGE,4.0,0,very_large,unknown,telecom_transport,organisation,100k+,1,86
0,0-90,immediate,immediate_0_90,2,2022-2023,3+,HUGE,4.0,0,very_large,unknown,telecom_transport,organisation,10k-100k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,3+,LARGE,3.0,0,very_large,unknown,education,organisation,1k-10k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,3+,LARGE,3.0,0,very_large,unknown,education,organisation,unknown,1,121
0,0-90,immediate,immediate_0_90,2,2022-2023,3+,LARGE,3.0,0,very_large,unknown,government,government_body,unknown,0,17
0,0-90,immediate,immediate_0_90,2,2022-2023,3+,UNKNOWN,2.8546875,1,unknown,unknown,government,government_body,1k-10k,0,90
0,0-90,immediate,immediate_0_90,2,2022-2023,3+,UNKNOWN,2.8546875,1,unknown,unknown,government,government_body,unknown,0,90
0,0-90,immediate,immediate_0_90,3,2024-2026,1,HUGE,4.0,0,unknown,unknown,government,organisation,unknown,0,90
0,0-90,immediate,immediate_0_90,3,2024-2026,1,HUGE,4.0,0,unknown,unknown,other,organisation,10k-100k,0,90
